Filename,check,status,detail
NMP_freq.hess,must_detect_functional_group:carbonyl_C=O,PASS,"['carbonyl_C=O', 'lactam_amide', 'methyl', 'methylene', 'ring']"
NMP_freq.hess,must_detect_functional_group:lactam_amide,PASS,"['carbonyl_C=O', 'lactam_amide', 'methyl', 'methylene', 'ring']"
NMP_freq.hess,must_detect_functional_group:methylene,PASS,"['carbonyl_C=O', 'lactam_amide', 'methyl', 'methylene', 'ring']"
NMP_freq.hess,must_detect_functional_group:methyl,PASS,"['carbonyl_C=O', 'lactam_amide', 'methyl', 'methylene', 'ring']"
NMP_freq.hess,must_detect_functional_group:ring,PASS,"['carbonyl_C=O', 'lactam_amide', 'methyl', 'methylene', 'ring']"
NMP_freq.hess,must_assign_mid_frequency:C=O stretch,PASS,mode=38; freq=1768.3073629316689; assignment=C=O stretch mixed with bond stretch; top1=carbonyl_CO_stretch(C4=O6); top1_percent=78.192
NMP_freq.hess,high_frequency_unassigned_count_is_zero,PASS,0
NMP_freq.hess,monoethanolamine_sanity_skipped,PASS,['SKIPPED']
NMP_freq.hess,protected_xh_unused_norm_power_blank,PASS,0
MeOH_freq.hess,must_detect_functional_group:alcohol,PASS,"['alcohol', 'methyl']"
MeOH_freq.hess,must_detect_functional_group:methyl,PASS,"['alcohol', 'methyl']"
MeOH_freq.hess,must_assign_mid_frequency:C-O stretch,PASS,mode=8; freq=1091.8086756523585; assignment=C-O stretch mixed with angle bend; top1=alcohol_CO_stretch(C1-O2); top1_percent=62.848
MeOH_freq.hess,forbidden_assignment_absent:CH2 symmetric stretch,PASS,absent
MeOH_freq.hess,forbidden_assignment_absent:CH2 asymmetric stretch,PASS,absent
MeOH_freq.hess,high_frequency_unassigned_count_is_zero,PASS,0
MeOH_freq.hess,monoethanolamine_sanity_skipped,PASS,['SKIPPED']
MeOH_freq.hess,protected_xh_unused_norm_power_blank,PASS,0
EtOH_freq.hess,must_detect_functional_group:alcohol,PASS,"['alcohol', 'methyl', 'methylene']"
EtOH_freq.hess,must_detect_functional_group:methylene,PASS,"['alcohol', 'methyl', 'methylene']"
EtOH_freq.hess,must_detect_functional_group:methyl,PASS,"['alcohol', 'methyl', 'methylene']"
EtOH_freq.hess,must_assign_mid_frequency:C-O stretch,PASS,mode=12; freq=1113.672977503852; assignment=C-O stretch mixed with angle bend; top1=alcohol_CO_stretch(C1-O8); top1_percent=54.907
EtOH_freq.hess,high_frequency_unassigned_count_is_zero,PASS,0
EtOH_freq.hess,monoethanolamine_sanity_skipped,PASS,['SKIPPED']
EtOH_freq.hess,protected_xh_unused_norm_power_blank,PASS,0
iPrOH_freq.hess,must_detect_functional_group:alcohol,PASS,"['alcohol', 'methine', 'methyl']"
iPrOH_freq.hess,must_detect_functional_group:methyl,PASS,"['alcohol', 'methine', 'methyl']"
iPrOH_freq.hess,must_detect_functional_group:methine,PASS,"['alcohol', 'methine', 'methyl']"
iPrOH_freq.hess,must_assign_mid_frequency:C-O stretch,PASS,mode=15; freq=971.1528163747686; assignment=C-O stretch mixed with angle bend; top1=alcohol_CO_stretch(C2-O3); top1_percent=33.427
iPrOH_freq.hess,forbidden_assignment_absent:CH2 symmetric stretch,PASS,absent
iPrOH_freq.hess,forbidden_assignment_absent:CH2 asymmetric stretch,PASS,absent
iPrOH_freq.hess,high_frequency_unassigned_count_is_zero,PASS,0
iPrOH_freq.hess,monoethanolamine_sanity_skipped,PASS,['SKIPPED']
iPrOH_freq.hess,protected_xh_unused_norm_power_blank,PASS,0
